"filename", "language", "JSON", "Markdown", "JavaScript", "HTML", "CSS", "XML", "comment", "blank", "total"
"c:\Users\andra\web-apps\proba\myCRM\server.js", "JavaScript", 0, 0, 30, 0, 0, 0, 6, 11, 47
"c:\Users\andra\web-apps\proba\myCRM\validation\companyProfile.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 11, 50
"c:\Users\andra\web-apps\proba\myCRM\validation\is-empty.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\andra\web-apps\proba\myCRM\validation\login.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 6, 23
"c:\Users\andra\web-apps\proba\myCRM\validation\register.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 11, 46
"c:\Users\andra\web-apps\proba\myCRM\validation\research.js", "JavaScript", 0, 0, 33, 0, 0, 0, 0, 10, 43
"c:\Users\andra\web-apps\proba\myCRM\validation\stage.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 7, 28
"c:\Users\andra\web-apps\proba\myCRM\validation\studentProfile.js", "JavaScript", 0, 0, 48, 0, 0, 0, 0, 14, 62
"c:\Users\andra\web-apps\proba\myCRM\validation\task.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 8, 33
"Total", "-", 17565, 45, 6424, 38, 59, 214, 339, 837, 25521
